ra,dec,Source_Name,Fx(uJy),SIMBAD_Name,Final_Type
268.8691667,-32.4775,J1755-324       ,180,INTREF   866,LMXB
270.2841667,-25.07916667, 1758-250       ,1250,4U 1758-25,LMXB
270.3029167,-25.74055556, 1758-258       ,20,2XMM J180112.4-254436,LMXB
270.3845833,-20.52888889, 1758-205       ,700,X Sgr X-3,LMXB
271.7091667,-24.5875, 1803-245       ,2,2S 1803-245,LMXB
271.7125,-24.585,J1806-246       ,440,2S 1803-245,LMXB
272.11475,-36.97897222,J1808.4-3658    ,110,V* V4580 Sgr,LMXB
272.6854167,-26.15027778,J1810.8-2609    ,16,V* V4722 Sgr,LMXB
273.6295833,-17.15722222, 1811-171       ,350,V* V5512 Sgr,LMXB
273.8,-12.08333333, 1812-12        ,15,4U 1812-12,LMXB
274.0058333,-14.03638889, 1813-140       ,700,V* NP Ser,LMXB
274.8395,-25.42666667,J1819.3-2525    ,1,V* GM Sgr,Nova
275.9191667,-30.36138889, 1820-303       ,250,X Sgr X-4,LMXB
276.445,-37.10527778, 1822-371       ,10,V* V691 CrA,LMXB
276.3420833,-0.01222222, 1822-000       ,25,4U 1823-00,LMXB
277.3625,-23.79138889, 1826-238       ,30,V* V4634 Sgr,LMXB
278.9333333,-32.98194444, 1832-330       ,8,[ZGV2011] 4,LMXB
279.9895833,5.03583333, 1837+049       ,225,V* MM Ser,LMXB
282.32125,-3.06222222, 1846-031       ,300,EXO 1846-031,LMXB
283.2704167,-8.70555556, 1850-087       ,7,4U 1850-086,LMXB
284.1625,5.33,J1856+053       ,70,INTREF   948,LMXB
284.67325,22.65816667,J1859+226       ,600,V* V406 Vul,HMXB
287.1125,0.16888889, 1905+000       ,10,4U 1857+01,LMXB
287.8166667,0.585, 1908+005       ,0.1,X Aql X-1,LMXB
288.8208333,10.96833333, 1915+105       ,300,Granat 1915+105,HMXB
289.7,-5.23583333, 1916-053       ,25,V* V1405 Aql,LMXB
290.0708333,14.69416667, 1918+146       ,5,4U 1918+15,LMXB
295.6583333,-3.9, 1940-04        ,50,INTREF   989,LMXB
299.85,11.70833333, 1957+115       ,30,V* V1408 Aql,LMXB
300.7066667,25.23666667, 2000+251       ,0.5,V* QZ Vul,HMXB
303.1575,38.18363889,J2012+381       ,160,INTREF  1012,LMXB
306.0158333,33.86777778, 2023+338       ,0.4,V* V404 Cyg,HMXB
320.8105833,-5.79802778,J2123-058       ,110,V* LZ Aqr,LMXB
322.4929167,12.1675, 2127+119       ,6,4U 2129+12,LMXB
322.8591667,47.29, 2129+470       ,9,V* V1727 Cyg,LMXB
326.1716667,38.32166667, 2142+380       ,450,V* V1341 Cyg,LMXB
350.1420833,62.2925, 2318+620       ,2.4,4U 2316+61,LMXB
