Date_Observed,ra,dec,SIMBAD_Name,Source_Type
06-07-2019,346.181158,-8.68573,Mrk  926,Seyfert_1
07-07-2019,135.528583,-40.554694,V* GP Vel,HMXB
08-07-2019,128.836062,-45.176432,NAME Vela Pulsar,Pulsar
10-07-2019,12.08,85.223917,Cl* NGC  188    DGV     702,Star
10-07-2019,186.22625,21.382278,4C 21.35,QSO
11-07-2019,346.181158,-8.68573,Mrk  926,Seyfert_1
12-07-2019,192.7215,41.1202,M  94,Seyfert
13-07-2019,194.300865,28.492366,GMP 5025,Galaxy
13-07-2019,194.498792,27.995972,LEDA   83707,GinCl
14-07-2019,195.040167,27.21375,BD+28  2172,Star
16-07-2019,211.180108,54.89263,NGC  5473,GinGroup
16-07-2019,199.728371,-21.03911,NGC  5068,Galaxy
17-07-2019,312.258667,30.404972,0,0
17-07-2019,250.445208,36.543611,NGC  6205   882,Star
18-07-2019,240.181667,31.17075,0,0
19-07-2019,251.44875,-45.611111,4U 1642-45,LMXB
19-07-2019,36.820329,33.57917,NAME NGC 925 Group,GroupG
21-07-2019,236.5125,-37.786417,NGC  5986,GlCl
22-07-2019,252.320833,59.919167,IRAS F16485+6000,IR
23-07-2019,244.289708,-51.882556,Gaia DR2 5934728536316842624,Candidate_YSO
23-07-2019,194.421042,20.39661,IC 3929,Seyfert_1
24-07-2019,258.385917,-37.023333,0,0
24-07-2019,287.442079,-63.85753,NGC  6744,GinGroup
25-07-2019,262.991671,-33.83528,NAME Gri 1,GlCl
27-07-2019,203.974167,-34.295494,ESO 383-35,Seyfert_1
29-07-2019,326.171475,38.321407,V* V1341 Cyg,LMXB
30-07-2019,247.462667,39.766528,UGC 10420,LINER
30-07-2019,304.23875,-70.75833,[BHK2005] 275,GlCl
31-07-2019,201.245833,-43.126111,[WRW2015] 1618,PN?
06-08-2019,237.391917,70.348089,0,0
06-08-2019,251.44875,-45.611111,4U 1642-45,LMXB
07-08-2019,338.139167,11.720278,2MASS J22323284+1142441,Star
08-08-2019,256.563808,-43.035747,X Ara X-1,LMXB
10-08-2019,237.391917,70.348089,0,0
12-08-2019,246.608292,-72.268861,TYC 9282-2284-1,Star
12-08-2019,195.839542,-62.223944,IRAS 13002-6157,Candidate_Ae*
12-08-2019,216.000333,31.568361,0,0
14-08-2019,272.11475,-36.978972,V* V4580 Sgr,LMXB
15-08-2019,288.717,17.367,[NHO98] 19127+1717,Maser
15-08-2019,250.445208,36.543611,NGC  6205   882,Star
17-08-2019,274.656667,-52.215778,NGC  6584,GlCl
17-08-2019,270.290542,-25.078925,4U 1758-25,LMXB
17-08-2019,85.127083,69.378444,0,0
17-08-2019,305.749021,-44.27153,LEDA   64576,Galaxy
18-08-2019,216.6375,43.854167,KISS F1424-1399,EmG
18-08-2019,249.432875,29.727694,0,0
19-08-2019,356.757079,29.47111,APG  86,PairG
20-08-2019,78.528167,-40.046556,NGC  1851,GlCl
20-08-2019,310.307792,-38.19342,ESO 341-4,IG
21-08-2019,220.108829,33.98911,NGC  5727,EmG
21-08-2019,218.475,42.653611,SDSS J143358.56+423910.3,QSO
22-08-2019,265.990969,19.585838,QSO B1741+196,BLLac
24-08-2019,233.738558,23.50314,[SED98] APG 220NE,PartofG
25-08-2019,270.290542,-25.078925,4U 1758-25,LMXB
26-08-2019,272.11475,-36.978972,V* V4580 Sgr,LMXB
27-08-2019,237.391917,70.348089,0,0
28-08-2019,270.290542,-25.078925,4U 1758-25,LMXB
28-08-2019,251.44875,-45.611111,4U 1642-45,LMXB
28-08-2019,264.742921,-44.45,V* V926 Sco,LMXB
29-08-2019,262.990542,-33.834028,NAME Slow Burster,LMXB
31-08-2019,284.888125,-36.631417,NGC  6723,GlCl
01-09-2019,274.005787,-14.036283,V* NP Ser,LMXB
01-09-2019,295.669067,-10.32375,NGC  6814,Seyfert_1
05-09-2019,277.680367,-24.019153,V* V3890 Sgr,LPV*
06-09-2019,295.669067,-10.32375,NGC  6814,Seyfert_1
08-09-2019,359.253083,-34.680539,ESO 349-9,GinCl
09-09-2019,100.564721,75.62573,Mrk    5,HII_G
09-09-2019,8.406667,28.739167,AGC 102983,Galaxy
10-09-2019,251.44875,-45.611111,4U 1642-45,LMXB
10-09-2019,256.435375,-36.423069,V* V1101 Sco,LMXB
11-09-2019,237.391917,70.348089,0,0
12-09-2019,58.841625,9.788333,HZ  4,WD*
12-09-2019,277.680367,-24.019153,V* V3890 Sgr,LPV*
17-09-2019,325.092167,-23.179861,M  30,GlCl
17-09-2019,251.44875,-45.611111,4U 1642-45,LMXB
18-09-2019,340.537375,29.6153,0,0
18-09-2019,284.146292,-37.908472,RX J1856.6-3754,Neutron*
20-09-2019,100.72975,55.474233,V* SU Lyn,LPV*
22-09-2019,340.790583,29.7253,0,0
22-09-2019,340.53725,29.7253,0,0
22-09-2019,340.790708,29.8353,0,0
22-09-2019,340.537083,29.8353,TYC 2232-311-1,Star
22-09-2019,340.663917,29.615361,[TKK2018] 7277,PairG
